Path,Emotions
RAVDESS/Actor_16/03-01-05-01-02-01-16.wav,angry
RAVDESS/Actor_16/03-01-06-01-02-02-16.wav,fear
RAVDESS/Actor_16/03-01-06-02-01-02-16.wav,fear
RAVDESS/Actor_16/03-01-05-02-01-01-16.wav,angry
RAVDESS/Actor_16/03-01-07-01-01-01-16.wav,disgust
RAVDESS/Actor_16/03-01-04-01-01-02-16.wav,sad
RAVDESS/Actor_16/03-01-04-02-02-02-16.wav,sad
RAVDESS/Actor_16/03-01-07-02-02-01-16.wav,disgust
RAVDESS/Actor_16/03-01-08-02-02-01-16.wav,surprise
RAVDESS/Actor_16/03-01-08-01-01-01-16.wav,surprise
RAVDESS/Actor_16/03-01-03-02-02-02-16.wav,happy
RAVDESS/Actor_16/03-01-03-01-01-02-16.wav,happy
RAVDESS/Actor_16/03-01-02-02-01-01-16.wav,calm
RAVDESS/Actor_16/03-01-01-01-02-02-16.wav,neutral
RAVDESS/Actor_16/03-01-02-01-02-01-16.wav,calm
RAVDESS/Actor_16/03-01-03-02-01-01-16.wav,happy
RAVDESS/Actor_16/03-01-03-01-02-01-16.wav,happy
RAVDESS/Actor_16/03-01-02-02-02-02-16.wav,calm
RAVDESS/Actor_16/03-01-02-01-01-02-16.wav,calm
RAVDESS/Actor_16/03-01-01-01-01-01-16.wav,neutral
RAVDESS/Actor_16/03-01-06-01-01-01-16.wav,fear
RAVDESS/Actor_16/03-01-05-01-01-02-16.wav,angry
RAVDESS/Actor_16/03-01-05-02-02-02-16.wav,angry
RAVDESS/Actor_16/03-01-06-02-02-01-16.wav,fear
RAVDESS/Actor_16/03-01-04-01-02-01-16.wav,sad
RAVDESS/Actor_16/03-01-07-01-02-02-16.wav,disgust
RAVDESS/Actor_16/03-01-07-02-01-02-16.wav,disgust
RAVDESS/Actor_16/03-01-04-02-01-01-16.wav,sad
RAVDESS/Actor_16/03-01-08-02-01-02-16.wav,surprise
RAVDESS/Actor_16/03-01-08-01-02-02-16.wav,surprise
RAVDESS/Actor_16/03-01-02-01-02-02-16.wav,calm
RAVDESS/Actor_16/03-01-01-01-02-01-16.wav,neutral
RAVDESS/Actor_16/03-01-02-02-01-02-16.wav,calm
RAVDESS/Actor_16/03-01-03-01-01-01-16.wav,happy
RAVDESS/Actor_16/03-01-03-02-02-01-16.wav,happy
RAVDESS/Actor_16/03-01-07-02-02-02-16.wav,disgust
RAVDESS/Actor_16/03-01-04-02-02-01-16.wav,sad
RAVDESS/Actor_16/03-01-04-01-01-01-16.wav,sad
RAVDESS/Actor_16/03-01-07-01-01-02-16.wav,disgust
RAVDESS/Actor_16/03-01-05-02-01-02-16.wav,angry
RAVDESS/Actor_16/03-01-06-02-01-01-16.wav,fear
RAVDESS/Actor_16/03-01-06-01-02-01-16.wav,fear
RAVDESS/Actor_16/03-01-05-01-02-02-16.wav,angry
RAVDESS/Actor_16/03-01-08-01-01-02-16.wav,surprise
RAVDESS/Actor_16/03-01-08-02-02-02-16.wav,surprise
RAVDESS/Actor_16/03-01-04-02-01-02-16.wav,sad
RAVDESS/Actor_16/03-01-07-02-01-01-16.wav,disgust
RAVDESS/Actor_16/03-01-07-01-02-01-16.wav,disgust
RAVDESS/Actor_16/03-01-04-01-02-02-16.wav,sad
RAVDESS/Actor_16/03-01-06-02-02-02-16.wav,fear
RAVDESS/Actor_16/03-01-05-02-02-01-16.wav,angry
RAVDESS/Actor_16/03-01-05-01-01-01-16.wav,angry
RAVDESS/Actor_16/03-01-06-01-01-02-16.wav,fear
RAVDESS/Actor_16/03-01-08-01-02-01-16.wav,surprise
RAVDESS/Actor_16/03-01-08-02-01-01-16.wav,surprise
RAVDESS/Actor_16/03-01-01-01-01-02-16.wav,neutral
RAVDESS/Actor_16/03-01-02-01-01-01-16.wav,calm
RAVDESS/Actor_16/03-01-02-02-02-01-16.wav,calm
RAVDESS/Actor_16/03-01-03-01-02-02-16.wav,happy
